method,path,cli,permission,evidence
"PUT","/app/rest/buildTypes/{btLocator}/steps/{stepId}/parameters/{parameterName}","jobs steps parameters set <job-id> <step-id> <name> <value>","Update","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"GET","/app/rest/buildTypes/{btLocator}/steps/{stepId}/{fieldName}","jobs steps fields show <job-id> <step-id> <field>","ReadOnly","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"PUT","/app/rest/buildTypes/{btLocator}/steps/{stepId}/{fieldName}","jobs steps fields set <job-id> <step-id> <field> <value>","Update","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"GET","/app/rest/buildTypes/{btLocator}/features/{featureId}/parameters","jobs features parameters list <job-id> <feature-id>","ReadOnly","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"PUT","/app/rest/buildTypes/{btLocator}/features/{featureId}/parameters","jobs features parameters replace <job-id> <feature-id> [--property <key=value>]","Update","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"GET","/app/rest/buildTypes/{btLocator}/features/{featureId}/parameters/{parameterName}","jobs features parameters show <job-id> <feature-id> <name>","ReadOnly","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"PUT","/app/rest/buildTypes/{btLocator}/features/{featureId}/parameters/{parameterName}","jobs features parameters set <job-id> <feature-id> <name> <value>","Update","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"GET","/app/rest/buildTypes/{btLocator}/features/{featureId}/{name}","jobs features fields show <job-id> <feature-id> <field>","ReadOnly","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"PUT","/app/rest/buildTypes/{btLocator}/features/{featureId}/{name}","jobs features fields set <job-id> <feature-id> <field> <value>","Update","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"GET","/app/rest/buildTypes/{btLocator}/triggers/{triggerLocator}/{fieldName}","jobs triggers fields show <job-id> <trigger-id> <field>","ReadOnly","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"PUT","/app/rest/buildTypes/{btLocator}/triggers/{triggerLocator}/{fieldName}","jobs triggers fields set <job-id> <trigger-id> <field> <value>","Update","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"GET","/app/rest/buildTypes/{btLocator}/output-parameters","jobs output-parameters list <job-id>","ReadOnly","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"GET","/app/rest/buildTypes/{btLocator}/output-parameters/{name}","jobs output-parameters show <job-id> <name>","ReadOnly","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"POST","/app/rest/buildTypes/{btLocator}/output-parameters","jobs output-parameters create <job-id> <name> --value <value>","Update","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"PUT","/app/rest/buildTypes/{btLocator}/output-parameters/{name}","jobs output-parameters set <job-id> <name> --value <value>","Update","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"DELETE","/app/rest/buildTypes/{btLocator}/output-parameters/{name}","jobs output-parameters delete <job-id> <name>","Update","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"GET","/app/rest/projects/{projectLocator}/templates","projects templates list <project-id>","ReadOnly","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"POST","/app/rest/projects/{projectLocator}/templates","projects templates create <project-id> <template-id> --name <name>","Update","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"GET","/app/rest/projects/{projectLocator}/defaultTemplate","projects templates default show <project-id>","ReadOnly","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"PUT","/app/rest/projects/{projectLocator}/defaultTemplate","projects templates default set <project-id> --template <template-id>","Update","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"DELETE","/app/rest/projects/{projectLocator}/defaultTemplate","projects templates default clear <project-id>","Update","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"GET","/app/rest/buildTypes/{btLocator}/templates/{templateLocator}","jobs templates show <job-id> <template-id>","ReadOnly","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"GET","/app/rest/projects/{projectLocator}/parentProject","projects parent <project-id>","ReadOnly","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"GET","/app/rest/projects/{projectLocator}/{field}","projects fields show <project-id> <field>","ReadOnly","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"GET","/app/rest/buildTypes/{btLocator}/{field}","jobs fields show <job-id> <field>","ReadOnly","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"GET","/app/rest/buildTypes/{btLocator}/aliases","jobs aliases <job-id>","ReadOnly","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"GET","/app/rest/buildTypes/{btLocator}/branches","jobs branches <job-id> [--limit <count>] [--start <offset>]","ReadOnly","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
"GET","/app/rest/buildTypes/{btLocator}/buildTags","jobs tags <job-id>","ReadOnly","tests/authoring.test.ts + tests/advanced-authoring-cases.ts + tests/advanced-authoring.test.ts"
