method,path,cli,permission,evidence
"GET","/app/rest/agents/{agentLocator}/{field}","agents fields show <agent-id> <field>","ReadOnly","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"PUT","/app/rest/agents/{agentLocator}/{field}","agents fields set <agent-id> <field> <value>","Update","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"GET","/app/rest/agents/{agentLocator}/compatibleBuildTypes","agents compatible-jobs <agent-id>","ReadOnly","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"GET","/app/rest/agents/{agentLocator}/incompatibleBuildTypes","agents incompatible-jobs <agent-id>","ReadOnly","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"GET","/app/rest/buildQueue/{queuedBuildLocator}","queue show <build-id>","ReadOnly","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"GET","/app/rest/buildQueue/{queuedBuildLocator}/compatibleAgents","queue compatible-agents <build-id>","ReadOnly","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"GET","/app/rest/buildQueue/{buildLocator}/tags","queue tags list <build-id>","ReadOnly","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"POST","/app/rest/buildQueue/{buildLocator}/tags","queue tags add <build-id> --tag <tag>","Update","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"GET","/app/rest/buildQueue/order/{queuePosition}","queue position show <position>","ReadOnly","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"PUT","/app/rest/buildQueue/order/{queuePosition}","queue position set <position> --build <build-id>","Update","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"DELETE","/app/rest/builds/{buildLocator}","builds delete <build-id>","Update","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"PUT","/app/rest/builds/{buildLocator}/comment","builds comment set <build-id> --text <text>","Update","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"DELETE","/app/rest/builds/{buildLocator}/comment","builds comment clear <build-id>","Update","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"GET","/app/rest/builds/{buildLocator}/number","builds number show <build-id>","ReadOnly","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"PUT","/app/rest/builds/{buildLocator}/number","builds number set <build-id> <value>","Update","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"GET","/app/rest/builds/{buildLocator}/statusText","builds status-text show <build-id>","ReadOnly","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"PUT","/app/rest/builds/{buildLocator}/statusText","builds status-text set <build-id> <value>","Update","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"GET","/app/rest/builds/{buildLocator}/pinInfo","builds pin show <build-id>","ReadOnly","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"PUT","/app/rest/builds/{buildLocator}/pinInfo","builds pin set <build-id> <true|false> [--comment <text>]","Update","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"GET","/app/rest/builds/{buildLocator}/statistics","builds statistics list <build-id>","ReadOnly","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"GET","/app/rest/builds/{buildLocator}/statistics/{name}","builds statistics show <build-id> <name>","ReadOnly","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"GET","/app/rest/builds/{buildLocator}/status","builds status <build-id>","ReadOnly","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"GET","/app/rest/builds/{buildLocator}/tags","builds tags list <build-id>","ReadOnly","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"POST","/app/rest/builds/{buildLocator}/tags","builds tags add <build-id> --tag <tag>","Update","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"PUT","/app/rest/builds/{buildLocator}/tags","builds tags replace <build-id> [--tag <tag>]","Update","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"GET","/app/rest/builds/{buildLocator}/finishDate","builds finish-date <build-id>","ReadOnly","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"GET","/app/rest/builds/{buildLocator}/canceledInfo","builds canceled-info <build-id>","ReadOnly","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"GET","/app/rest/builds/{buildLocator}/{field}","builds fields show <build-id> <field>","ReadOnly","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"GET","/app/rest/changes/{changeLocator}","changes show <change-id>","ReadOnly","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
"GET","/app/rest/changes/{changeLocator}/parentChanges","changes parents <change-id>","ReadOnly","tests/authoring.test.ts + tests/operator-cases.ts + tests/operator.test.ts"
