method,path,cli,permission,evidence
"DELETE","/app/rest/buildTypes/{btLocator}/output-parameters","jobs output-parameters clear <owner-id> --confirm","Update","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"GET","/app/rest/buildTypes/{btLocator}/output-parameters/{name}/value","jobs output-parameters value show <owner-id> <name>","ReadOnly","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"PUT","/app/rest/buildTypes/{btLocator}/output-parameters/{name}/value","jobs output-parameters value set <owner-id> <name> <value>","Update","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"PUT","/app/rest/buildTypes/{btLocator}/steps","jobs steps replace-all <job-id> [--item <json>]","Update","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"PUT","/app/rest/buildTypes/{btLocator}/features","jobs features replace-all <job-id> [--item <json>]","Update","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"PUT","/app/rest/buildTypes/{btLocator}/triggers","jobs triggers replace-all <job-id> [--item <json>]","Update","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"PUT","/app/rest/buildTypes/{btLocator}/agent-requirements","jobs agent-requirements replace-all <job-id> [--item <json>]","Update","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"PUT","/app/rest/buildTypes/{btLocator}/artifact-dependencies","jobs artifact-dependencies replace-all <job-id> [--item <json>]","Update","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"PUT","/app/rest/buildTypes/{btLocator}/snapshot-dependencies","jobs snapshot-dependencies replace-all <job-id> [--item <json>]","Update","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"PUT","/app/rest/buildTypes/{btLocator}/vcs-root-entries","jobs vcs replace-all <job-id> [--item <json>]","Update","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"PUT","/app/rest/buildTypes/{btLocator}/templates","jobs templates replace-all <job-id> [--template <id>] [--optimize-settings]","Update","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"DELETE","/app/rest/buildTypes/{btLocator}/templates","jobs templates clear <job-id> --confirm [--inline-settings]","Update","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"GET","/app/rest/buildTypes/{btLocator}/builds","jobs builds <job-id>","ReadOnly","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"GET","/app/rest/projects/{projectLocator}/agentPools","projects pools list <project-id>","ReadOnly","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"POST","/app/rest/projects/{projectLocator}/agentPools","projects pools assign <project-id> <pool-id>","Update","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"PUT","/app/rest/projects/{projectLocator}/agentPools","projects pools replace-all <project-id> [--pool <id>]","Update","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"DELETE","/app/rest/projects/{projectLocator}/agentPools/{agentPoolLocator}","projects pools unassign <project-id> <pool-id>","Update","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"GET","/app/rest/projects/{projectLocator}/branches","projects branches <project-id> [--limit <count>] [--start <offset>]","ReadOnly","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"POST","/app/rest/projects/{projectLocator}/buildTypes","projects jobs create <project-id> <job-id> --name <name>","Update","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"GET","/app/rest/projects/{projectLocator}/order/buildTypes","projects order jobs show <project-id>","ReadOnly","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"PUT","/app/rest/projects/{projectLocator}/order/buildTypes","projects order jobs set <project-id> [--id <id>]","Update","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"GET","/app/rest/projects/{projectLocator}/order/projects","projects order projects show <project-id>","ReadOnly","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"PUT","/app/rest/projects/{projectLocator}/order/projects","projects order projects set <project-id> [--id <id>]","Update","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"PUT","/app/rest/projects/{projectLocator}/projectFeatures","projects features replace-all <project-id> [--item <json>]","Update","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"PUT","/app/rest/agentPools/{agentPoolLocator}/projects","pools projects replace-all <pool-id> [--project <id>]","Update","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"DELETE","/app/rest/agentPools/{agentPoolLocator}/projects","pools projects clear <pool-id> --confirm","Update","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"DELETE","/app/rest/buildQueue","queue delete-page --job <job-id> [--limit <count>] --confirm","Update","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"PUT","/app/rest/buildQueue/order","queue reorder --build <id> [--build <id>]","Update","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"PUT","/app/rest/buildQueue/pausedState","queue paused set <true|false> --reason <text>","Update","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"GET","/app/rest/buildQueue/{buildLocator}/approvalInfo","queue approval show <build-id>","ReadOnly","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"POST","/app/rest/buildQueue/{buildLocator}/approve","queue approval approve <build-id>","Update","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"DELETE","/app/rest/buildQueue/{queuedBuildLocator}","queue delete <build-id>","Update","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
"GET","/app/rest/agentTypes/{agentTypeLocator}","agents types show <type-id>","ReadOnly","tests/authoring.test.ts + tests/bulk-configuration-cases.ts + tests/bulk-configuration.test.ts"
